accession	name in vcf	include in map	include in network	include in admixture	admixture_expanded	big_admix?	selection scan pop	admix pop	network color	population	population	latitude	longitude	ploidy_man_curated	nquire ploidy	proportion_het%_to_NT1	Number_S_haplogroups	Species_fin	source	source_type	snps (2n)	collector, comments	admix	twisst Siberia	selection_test	est-sfs	demographic modeling pops	file to upload	ENA accession				
MW0079486_3	MW0079486_3	yes	yes	yes	yes	yes	CESiberia_2n	MW0079486_3	orange	ES_2n	East_Siberia_2n	70.686846	127.354681	2	3	0,35	1	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079486_3_1.fq.gz	ERS18382765				
MW0079491	MW0079491	yes	yes	yes	yes	yes	CESiberia_2n	MW0079491	orange	ES_2n	East_Siberia_2n	56.816615	124.878522	2	2	0,27	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a69	ERS18382766				
MW0079491_2	MW0079491_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0079491	orange	ES_2n	East_Siberia_2n	56.816615	124.878522	2	3	0,34	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079491_2_1.fq.gz	ERS18382767				
MW0079493_1	MW0079493_1	yes	yes	yes	yes	yes	CESiberia_2n	MW0079493_1	orange	ES_2n	East_Siberia_2n	63.3508974	125.719986	2	3	0,27	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079493_1_1.fq.gz	ERS18382768				
MW0079494_2	MW0079494_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0079494_2	orange	ES_2n	East_Siberia_2n	72.3956019	126.6601753	2	3	0,33	1	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079494_2_1.fq.gz	ERS18382769				
MW0079496	MW0079496	yes	yes	yes	yes	yes	CESiberia_2n	MW0079496	orange	ES_2n	East_Siberia_2n	63.264569	143.230643	2	2	0,28	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a94	ERS18382770				
MW0079497	MW0079497	yes	yes	yes	yes	yes		MW0079497	paleblue	IS_2n	KIS_2n	72.96641	78.933523	2	2	0,29	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a50	ERS18382771				
MW0079497_4	MW0079497_4	yes	yes	yes	yes	yes		MW0079497	paleblue	IS_2n	KIS_2n	72.96641	78.933523	2	3	0,33	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079497_4_1.fq.gz	ERS18382772				
MW0079500	MW0079500	yes	yes	yes	yes	yes		MW0079500	paleblue	IS_2n	KIS_2n	72.9040995	78.9319611	2	2	0,28	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a54	ERS18382773				
MW0079500_2	MW0079500_2	yes	yes	yes	yes	yes		MW0079500	paleblue	IS_2n	KIS_2n	72.9040995	78.9319611	2	4	0,26	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079500_2_1.fq.gz	ERS18382774				
MW0079507	MW0079507_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079507_4n	yellow	CS_4n	Central_Siberia_4n	74.44556	99.6814	4	4	0,53	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a36	ERS18382775				
MW0079509	MW0079509	yes	yes	yes	yes	yes	SU_2n	MW0079509	purple	SU_2n	Northern_Ural_2n	59.5167321	59.1124535	2	2	0,27	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a80	ERS18382776				
MW0079510_1	MW0079510_1	yes	yes	yes	yes	yes	SU_2n	MW0079509	purple	SU_2n	Northern_Ural_2n	59.5167321	59.1124535	2	3	0,34	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079510_1_1.fq.gz	ERS18382777				
MW0079537	MW0079537	yes	yes	yes	yes	yes	CESiberia_2n	MW0079537	orange	ES_2n	East_Siberia_2n	70.820742	129.638221	2	2	0,30	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED		ERS18382778				
MW0079537_3	MW0079537_3	yes	yes	yes	yes	yes	CESiberia_2n	MW0079537	orange	ES_2n	East_Siberia_2n	70.820742	129.638221	2	3	0,36	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079537_3_1.fq.gz	ERS18382779				
MW0079538	MW0079538	yes	yes	yes	yes	yes	CESiberia_2n	MW0079538	orange	ES_2n	East_Siberia_2n	72.0034007	129.1133881	2	2	0,28	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED		ERS18382780				
MW0079543_2	MW0079543_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0079543_2	orange	ES_2n	East_Siberia_2n	56.761912	124.749712	2	4	0,30	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079543_2_1.fq.gz	ERS18382781				
MW0079544	MW0079544_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079544_4n	yellow	CS_4n	Central_Siberia_4n	72.4044258	126.8563843	4	4	0,48	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET		ERS18382782				
MW0079545	MW0079545	yes	yes	yes	yes	yes	CESiberia_2n	MW0079545	orange	ES_2n	East_Siberia_2n	72.5472921	127.2223663	2	2	0,31	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED		ERS18382783				
MW0079546	MW0079546_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079546	yellow	CS_4n	Central_Siberia_4n	71.3093764	124.1757202	4	4	0,44	4	A. lyrata	Moscow University Herbarium	published	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET		ERS18382784				
MW0079546_2	MW0079546_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079546	yellow	CS_4n	Central_Siberia_4n	71.3093764	124.1757202	4	4	0,57	3	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079546_2_1.fq.gz	ERS18382785				
MW0079552	MW0079552_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079552	yellow	CS_4n	Central_Siberia_4n	74.44204	98.81792	4	4	0,51	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a46	ERS18382786				
MW0079552_2	MW0079552_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079552	yellow	CS_4n	Central_Siberia_4n	74.44204	98.81792	4	4	0,56	3	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079552_2_1.fq.gz	ERS18382787				
MW0079552_3	MW0079552_3_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079552	yellow	CS_4n	Central_Siberia_4n	74.44204	98.81792	4	4	0,58	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079552_3_1.fq.gz	ERS18382788				
MW0079552_7	MW0079552_7_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079552	yellow	CS_4n	Central_Siberia_4n	74.44204	98.81792	4	4	0,50	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079552_7_1.fq.gz	ERS18382789				
MW0079552_8	MW0079552_8_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079552	yellow	CS_4n	Central_Siberia_4n	74.44204	98.81792	4	4	0,51	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079552_8_1.fq.gz	ERS18382790				
MW0079553	MW0079553	yes	yes	yes	yes	yes		MW0079553	paleblue	IS_2n	KIS_2n	72.96641	78.933523	2	2	0,29	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip			/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a51	ERS18382791				
MW0079553_5	MW0079553_5	yes	yes	yes	yes	yes		MW0079553	paleblue	IS_2n	KIS_2n	72.96641	78.933523	2	2	0,36	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079553_5_1.fq.gz	ERS18382792				
MW0079553_7	MW0079553_7	yes	yes	yes	yes	yes		MW0079553	paleblue	IS_2n	KIS_2n	72.96641	78.933523	2	3	0,33	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079553_7_1.fq.gz	ERS18382793				
MW0079558_2	MW0079558_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079558_2_4n	yellow	CS_4n	Central_Siberia_4n	74.352355	104.723114	4	4	0,58	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079558_2_1.fq.gz	ERS18382794				
MW0079559	MW0079559	yes	yes	yes	yes	yes	LE_2n	MW0079559	blue	WS_2n	West_Siberia_2n	71.445855	89.213257	2	2	0,28	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_2n	dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a88	ERS18382795				
MW0079560	MW0079560	yes	yes	yes	yes	yes	LE_2n	MW0079560	purple	SU_2n	West_Siberia_2n	71.445855	89.213257	2	2	0,29	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a89	ERS18382796				
MW0079561_8	MW0079561_8	yes	yes	yes	yes	yes	LE_2n	MW0079561_8	purple	SU_2n	West_Siberia_2n	71.431966	89.220123	2	2	0,36	2	A. lyrata	Moscow University Herbarium	herbarium							PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079561_8_1.fq.gz	ERS18382797				
MW0079561_9	MW0079561_9	yes	yes	yes	yes	yes	LE_2n	MW0079561_8	purple	SU_2n	West_Siberia_2n	71.431966	89.220123	2	3	0,34	2	A. lyrata	Moscow University Herbarium	herbarium							PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079561_9_1.fq.gz	ERS18382798				
MW0079564	MW0079564	yes	yes	yes	yes	yes	LE_2n	MW0079564	purple	SU_2n	West_Siberia_2n	70.861044	89.897527	2	2	0,29	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y		dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a79	ERS18382799				
MW0079564_2	MW0079564_2	yes	yes	yes	yes	yes	LE_2n	MW0079564	purple	SU_2n	West_Siberia_2n	70.861044	89.897527	2	2	0,39	1	A. lyrata	Moscow University Herbarium	herbarium							PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079564_2_1.fq.gz	ERS18382800				
MW0079568-1_1	MW0079568-1_1_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079569-2_1_4n	yellow	CS_4n	Central_Siberia_4n	71.67179	108.2023	4	4	0,56	3	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079568-1_1_1.fq.gz	ERS18382801				
MW0079568-2_1	MW0079568-2_1_4n	yes	no	no	no				exclude	exclude	exclude	72.46667	101.846	unsure	4	0,22	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079568-2_1_1.fq.gz	ERS18382802				
MW0079568-3_1	MW0079568-3_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079568-3_1_4n	yellow	CS_4n	Central_Siberia_4n	71.6524	108.317	4	4	0,59	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079568-3_1_1.fq.gz	ERS18382803				
MW0079568-4_1	MW0079568-4_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079568-4_1_4n	yellow	CS_4n	Central_Siberia_4n	71.64702	108.2709	4	4	0,48	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079568-4_1_1.fq.gz	ERS18382804				
MW0079569-2_1	MW0079569-2_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079569-2_1_4n	yellow	CS_4n	Central_Siberia_4n	71.66347	108.2369	4	4	0,54	3	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079569-2_1_1.fq.gz	ERS18382805				
MW0079570	MW0079570	yes	yes	yes	yes	yes		MW0079570	selfer	selfer	East_Siberia_SC	70.5459	105.905	2	2	0,00	1	A. lyrata	Moscow University Herbarium	published	cohort2		y		dip			published	ERS10113951				
MW0079572-1	MW0079572-1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079572-1_4n	yellow	CS_4n	Central_Siberia_4n	74.09224	97.49822	4	4	0,54	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a42	ERS18382806				
MW0079572-2	MW0079572-2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079572-2_4n	yellow	CS_4n	Central_Siberia_4n	74.45192	98.88936	4	4	0,52	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a40	ERS18382807				
MW0079572-3_1	MW0079572-3_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079572-3_1_4n	yellow	CS_4n	Central_Siberia_4n	74.43984	98.86396	4	4	0,59	3	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079572-3_1_1.fq.gz	ERS18382808				
MW0079573	MW0079573_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079573	yellow	CS_4n	Central_Siberia_4n	74.16692	97.5606	4	4	0,51	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a43	ERS18382809				
MW0079573_1	MW0079573_3_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079573	yellow	CS_4n	Central_Siberia_4n	74.16692	97.5606	4	4	0,56	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079573_1_1.fq.gz	ERS18382810				
MW0079573_3	MW0079573_4_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079573	yellow	CS_4n	Central_Siberia_4n	74.16692	97.5606	4	4	0,75	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079573_3_1.fq.gz	ERS18382811				
MW0079573_4	MW0079573_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079573	yellow	CS_4n	Central_Siberia_4n	74.16692	97.5606	4	4	0,65	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079573_4_1.fq.gz	ERS18382812				
MW0079573_5	MW0079573_5_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079573	yellow	CS_4n	Central_Siberia_4n	74.16692	97.5606	4	4	0,59	4	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079573_5_1.fq.gz	ERS18382813				
MW0079575	MW0079575_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079575_4n	yellow	CS_4n	Central_Siberia_4n	74.5005	99.691	4	4	0,49	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET		ERS18382814				
MW0079577_2	MW0079577_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079577_2_4n	yellow	CS_4n	Central_Siberia_4n	71.2573333	103.335425	4	4	0,52	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079577_2_1.fq.gz	ERS18382815				
MW0079578-1	MW0079578-1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079578-1_4n	yellow	CS_4n	Central_Siberia_4n	73.394991	80.694923	4	4	0,48	3	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a47	ERS18382816				
MW0079579	MW0079579	yes	yes	yes	yes	yes	CESiberia_2n	MW0079579	yellow	CS_2n	Central_Siberia_2n	75.27706	112.4588	2	2	0,25	2	A. lyrata	Kolesnikova et al. 2023	published	cohort2		y	CESiberia_2n	dip		CED	published	ERS10113962				
MW0079581	MW0079581	yes	yes	yes	yes	yes	CESiberia_2n	MW0079581	yellow	CS_2n	Central_Siberia_2n	75.30149	112.4086	2	2	0,29	2	A. lyrata	Kolesnikova et al. 2023	published	cohort2		y	CESiberia_2n	dip		CED	published	ERS10113963				
MW0079582	MW0079582	yes	yes	yes	yes	yes	PUWS_2n	MW0079582	pink	EE_2n	Northern_Ural_2n	67.1670242	73.9422798	2	2	0,26	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_2n	dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a90	ERS18382817				
MW0079583_1	MW0079583_1	yes	yes	no	no	yes	PUWS_2n	MW0079509	pink	EE_2n	Northern_Ural_2n	59.5167321	59.1124535	2	3	0,33	1	A. lyrata	Moscow University Herbarium	herbarium				PUWS_2n			PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079583_1_1.fq.gz	ERS18382818				
MW0079583_2	MW0079583_2	yes	yes	yes	yes	yes	PUWS_2n	MW0079509	pink	EE_2n	Northern_Ural_2n	59.5167321	59.1124535	2	3	0,32	1	A. lyrata	Moscow University Herbarium	herbarium				PUWS_2n			PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079583_2_1.fq.gz	ERS18382819				
MW0079583_3	MW0079583_3	yes	yes	no	no	yes	PUWS_2n	MW0079509	pink	EE_2n	Northern_Ural_2n	59.5167321	59.1124535	2	2	0,33	1	A. lyrata	Moscow University Herbarium	herbarium				PUWS_2n			PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079583_3_1.fq.gz	ERS18382820				
MW0079584	MW0079584_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079584_4n	pink	EE_4n	Northern_Ural_4n	68.855228	64.758948	4	4	0,52	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a101	ERS18382821				
MW0079585	MW0079585	yes	yes	yes	yes	yes	PUWS_2n	MW0079585	pink	EE_2n	Northern_Ural_2n	66.628932	72.924427	2	2	0,20	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_2n	dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a81	ERS18382822				
MW0079587_4	MW0079587_4	yes	yes	no	no	yes	LE_2n	MW0079587_6	blue	WS_2n	West_Siberia_2n	67.495475	78.706424	2	4	0,25	2	A. lyrata	Moscow University Herbarium	herbarium				PUWS_2n			PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079587_4_1.fq.gz	ERS18382823				
MW0079587_6	MW0079587_6	yes	yes	yes	yes	yes	LE_2n	MW0079587_6	blue	WS_2n	West_Siberia_2n	67.495475	78.706424	2	3	0,27	2	A. lyrata	Moscow University Herbarium	herbarium				PUWS_2n			PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079587_6_1.fq.gz	ERS18382824				
MW0079589	MW0079589_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079589	pink	EE_4n	Northern_Ural_4n	66.9574895	65.3775787	4	4	0,59	3	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a77	ERS18382825				
MW0079589_11	MW0079589_11_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079589	pink	EE_4n	Northern_Ural_4n	66.9574895	65.3775787	4	4	0,57	3	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079589_11_1.fq.gz	ERS18382826				
MW0079589_8	MW0079589_8_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	EE_4n	Northern_Ural_4n	66.9574895	65.3775787	4	4	0,59	4	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079589_8_1.fq.gz	ERS18382827				
MW0079589_9	MW0079589_9_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079589	pink	EE_4n	Northern_Ural_4n	66.9574895	65.3775787	4	4	0,70	4	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079589_9_1.fq.gz	ERS18382828				
MW0079591	MW0079591	yes	yes	yes	yes	yes	PUWS_2n	MW0079591	pink	EE_2n	Northern_Ural_2n	72.348909	72.087915	2	2	0,32	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_2n	dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a67	ERS18382829				
MW0079595	MW0079595	yes	yes	no	no				kam	kamchatica	A. kamchatica	59.551032	150.892347	4	2	0,58	2	A. kamchatica	Moscow University Herbarium	published	cohort2		y					published	ERS10113965				
MW0079596	MW0079596	yes	yes	no	no				kam	kamchatica	A. kamchatica	51.9751528	134.8941708	4	2	0,58	2	A. kamchatica	Moscow University Herbarium	published	cohort2		y					published	ERS10113966				
MW0079604	MW0079604	yes	yes	yes	yes	yes	CESiberia_2n	MW0079604	yellow	CS_2n	Central_Siberia_2n	74.8628	106.5649	2	2	0,30	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a61	ERS18382830				
MW0079604_5	MW0079604_5	yes	yes	yes	yes	yes	CESiberia_2n	MW0079604	yellow	CS_2n	Central_Siberia_2n	74.8628	106.5649	2	2	0,40	1	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079604_5_1.fq.gz	ERS18382831				
MW0079605	MW0079605	yes	yes	yes	yes	yes		MW0079605	selfer	selfer	East_Siberia_SC	74.82053	106.3225	2	2	0,01	1	A. lyrata	Moscow University Herbarium	published	cohort2		y		dip			published	ERS10113952				
MW0079606	MW0079606_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079606_4n	yellow	CS_4n	Central_Siberia_4n	74.86008	106.5688	4	4	0,46	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a58	ERS18382832				
